"id","req_specification","class"
"544","Would you like us to run that overnight, Jim?","NULL"
"567","As a participant, I want to be able start a two-minute countdown timer that all participants can see, so that I can limit the time spent discussing the estimates when I think we’ve talked long enough.","F"
"1045","As a user, I want to have a flexible pick up time, so that I can more conveniently use the website.","F"
"941","action. I can see the entities, I can see the contacts. I can sign in. Although there should be stories listed under there.","NULL"
"1210","As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved.","F"
"771","As an Admin, I want to see key metrics about usage such as users, API usage, downloads, so that that I know how things are going.","F"
"288","There was always a big debate on the equipment is not worth to roll a truck, to go out and actually get. They're so far behind on it. They don't have the people to do it. They want to clean the records off.","NULL"
"366","As a Broker user, I want to help create content mockups, so that I can submit my data efficiently.","F"
"715","As a camp administrator, I want to keep track of the usage of internal camp facilities, so that I don't create conflicting schedules for the different camp groups.","F"
"424","As a team member, I want to understand what the MVP should look like, so that I can begin understanding workflow needs as they pertain to any CMS decision.","A"
"552","As a site member, I want to view the profiles of other members, so that I can find others I might want to connect with.","F"
"939","As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.","F"
"197","As a moderator, I want to have the 'estimate' field filled in automatically if all estimators show the same card, so that I can accept it more quickly.","F"
"429","As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over from prototype to FISMA low.","A"
"428","By credentials. There's things we can put in an iteration so that in two weeks when we have our...","NULL"
"5","As an NSF employee, I want to see how the user recruitment form looks and behaves on a sample page, so that I can understand the impact the recruitment will have on the NSF page.","A"
"663","Don't .","NULL"
"1145","As a user, I want to be able to get the hours of each recycling facility, so that I can arrange drop-offs on my off days or during after-work hours.","F"
"117","As an Agency user, I want to better understand my file-level errors.","A"
"604","Filtered by color?","NULL"
"55","We shouldn't run that.","NULL"
"731","As a FABS user, I want to link the SAMPLE FILE on the 'What you want to submit' dialog to point to the correct file, so that I have an accurate reference for my agency submissions.","F"
"709","And Brian doesn't have anything? He's afraid to try and break his stuff apart into tasks. I don't think he has any tasks out there, so they wouldn't show up on the board. He's being a bad boy .","NULL"
"882","My God.","NULL"
"78","Have you decided ?","NULL"
"1122","As a Developer, I want D Files generation requests to be managed and cached, so that duplicate requests do not cause performance issues.","A"
"1015","Three devices, phone, tablet...","NULL"
"416","When we did a look at the data that was falling into , I haven't looked at the data falling into LCAM, but nearly every Saturday and Sunday, weekend days, and even sometimes holidays, we saw transactions falling into from people doing scanning.","NULL"
"802","As the site editor, I want to include a teaser with each article, so that site visitors can decide if they want to read the rest.","F"
"1065","As a camp administrator, I want to provide bi-weekly feedback to camper's parents, so that they can be aware of their child's behavior and performance at camp.","F"
"41","Help.","NULL"
"693","As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results.","F"
"96","Can we look at that?","NULL"
