"id","req_specification","class"
"488","As a CSM, I want to have my name listed in the registry without becoming a member of the site, so that employers or others can verify my certification.","F"
"55","We shouldn't run that.","NULL"
"681","As an admin, I want to have all data encrypted, so that important information will not be stolen during a server breach or an attack.","A"
"633","Will this take scanning information?","NULL"
"130","I would think we would give them back, but for one spreadsheet that says, "Here's all the stuff we've retired, in case you want to double check it. Here's all the stuff we didn't touch, that was in your spreadsheet." Right?","NULL"
"171","As a site member, I want to subscribe to an RSS feed of jobs available, so that I can read them without visiting the site.","F"
"554","Feel great things.","NULL"
"1127","Bye.","NULL"
"1072","So I can search assets that are retired and reverse retire some.","NULL"
"956","As a site visitor, I want to post comments about articles, so that others can read them.","F"
"123","If somebody wants to do that for me, that would help me out.","NULL"
"272","That's .","NULL"
"690","As a site administrator, I want to create an Other Course or Event that is not charged a listing fee, so that the Scrum Alliance doesn't charge itself for Scrum Gatherings that it puts on.","F"
"103","I probably haven't seen it. I have problems logging into my computer from the conference room this morning. If you sent it in the last 30 minutes, then I haven't seen it yet.","NULL"
"397","Mostly that was to Jimmy. I don't know if I other one . This one was from Linda. They were kind of describing the same thing. It has IM group on there. I don't know if you're part of that or not, Larry.","NULL"
"871","As an author, I want to be able to indent / outdent content.","F"
"229","All right, that's what we're doing. Not all the rest of the stuff the way words it. I've told you that. I don't word it like they do. I word it so I know what I'm doing.","NULL"
"603","As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.","F"
"887","As a developer, I would like to create a web socket protocol for Frictionless data tools, so that I can easily use data packages with additional data analysis tools.","A"
"915","We as a group have caused a lot of our need to do context switching, because we oftentimes aren't done when we say we're going to be done. For whatever reason that is, and then we end up in a bind because we can't wait until we're done with something before we say we can...We have to keep things in the queue, in the schedule. Maybe next time, be thinking about that.","NULL"
"211","As an NSF member of the team, I want to have a place where I can access all the related reports and documentation, so that I can refer to it easily now and in the future.","F"
"1111","Yes.","NULL"
"900","As a developer, I want to have the site comply with the W3C accessibility guidelines where possible, so that people with accessibility issues can use the application.","A"
"388","As a camp administrator, I want to be able to delete campers from the database, so that I can keep my pages free of clutter.","F"
"182","Yep.","NULL"
"363","As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again.","F"
"309","As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element.","F"
"687","As a Researcher, I want to get a Data Package into R in seconds, so that I can start using the data for doing analysis and visualizations.","A"
"639","He gets it from Afinium. He's already been set up with Afinium for a while.","NULL"
"379","Yeah. You can't retire one . That's why I've always been .","NULL"
"1105","So, testing it is what's going to take a minute, right? Because it's the...","NULL"
"540","As a Publisher, I would like an integration with Open Refine, so that I can output cleaned Data Packages.","A"
"651","As an Agency user, I want historical FPDS data loaded.","F"
"794","Three. I'm thinking optimistically.","NULL"
