"id","req_specification","class"
"527","As a camp administrator, I want to be able to remove campers if they don't attend the camp anymore, so that I can keep the records organized.","F"
"250","As a site editor, I want to set the following dates on a news item: Start Publishing Date, Old News Date, Stop Publishing Date, so that articles are published on and through appropriate dates.","A"
"1155","As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.","F"
"1198","As a Publisher, I would like a tool to check data availability persistence after publication.","F"
"1124","As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.","F"
"487","Right. Whenever we deploy the test then I'll do that.","NULL"
"166","As an owner, I want to view all the people in my organization and what roles they have, so that that I can change these if I want.","F"
"610","As a VisualDesigner, I want to create a moodboard to aid with visual design concepts for the nsf.gov website, so that we can discuss different design concepts with stakeholders.","A"
"805","Yeah. Today, for hardwire the screen has frame, but for plugs it does not.","NULL"
"155","That they didn't have CLLIs because initially they were thinking that the ship to codes, or the to location codes were CLLIs. But, no we haven't tried to do the Fuzzy Logic Lookup.","NULL"
"952","Yeah. I finished a script recently, was finishing up early this morning, to take all those and get them back to where they'll go through workflow again, reprocess so I can execute that procedure.","NULL"
"928","As a camp worker, I'm able to report necessary repairs to the manager that the camp is needed of.","F"
"407","As a Website user, I want to access published FABS files, so that I can see the new files as they come in.","F"
"478","Then the asset .","NULL"
"1147","As an estimator, I want to see the item we’re estimating, so that I know what I’m giving an estimate for.","F"
"657","As a Practitioner, I want to write an article for the site with a small graphic shown with the article showing my CSP or CST status, so that others know my certifications when reading.","F"
"714","As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.","F"
"661","As a camp worker, I'm able to report a list of supplies to the manager that the camp is short of.","F"
"177","As a stakeholder, I want to have a decision on whether or not the blog aggregator may work for beta, and if not what will.","A"
"796","The login.","NULL"
"1186","As a site admin, I want to be emailed whenever a job is submitted, so that I am aware of it and can decide if I want to post it.","F"
"799","Yeah.","NULL"
"461","Where the grid is right now.","NULL"
"99","As a trainer, I want to be assured that no one can submit the same answers multiple time and skew my results, so that my ratings are accurate.","A"
"262","As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.","F"
"429","As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over from prototype to FISMA low.","A"
"597","Here is an example for code files, where we're going to be implementing the Telerik control map, I guess.","NULL"
"844","Yeah. I can do that, going to get things going. You said David installed that, or who installed that for you?","NULL"
"123","If somebody wants to do that for me, that would help me out.","NULL"
"1119","As a team member, I want to have a platform that allows me to rapidly prototype HTML ideas.","A"
"940","As a camp administrator, I want to be able to add campers, so that I can keep track of each individual camper.","F"
"686","As a developer, I want to have created database indexes, so that the queries run as fast as possible.","A"
"784","Yeah, we've done it forever.","NULL"
"711","As an NSF employee, I want to understand work performed, so that I can understand when and what I can use later.","A"
"340","...from meeting they called me about how it's done. I said, 'The meeting was only 20 minutes. I should have been in the meeting.' 'Why?' 'I wasted one hour explaining to three different people, all in the same meeting. I was not in the meeting.' This would have saved time, everybody's time. That's number one.","NULL"
"699","As a camp administrator, I want to be able to delete tasks/activities I scheduled, so that I can keep the schedule clean of unneeded activities.","F"
"604","Filtered by color?","NULL"
"646","As a site administrator, I want to set the annual fees for members, Practitioners and Trainers, so that fees can be set without involving a programmer.","F"
"106","As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, but after the initial registration date.","A"
"666","Who do you need to sit down with?","NULL"
"1173","That's because we went in and cleaned those up prior to passing the data to you.","NULL"
"692","As a user, I want to have my personal information kept securely in the database of the website, so that I will not suffer from identity theft or telephone harassment.","A"
"860","As a camp administrator, I want to be able to delete parents from the database, so that I can keep my pages free of unneeded clutter.","F"
"533","As a trainer, I want to read information of relevance only to trainers, so that the Scrum Alliance can share information with me easily.","F"
"227","As a Consumer, I want to browse and find publishers, so that that I can find interesting publishers and their packages.","F"
"1208","As a Trainer, I want to include additional details in my profile page about me, so that others can learn about me and decide if I am the right trainer for them.","F"
"288","There was always a big debate on the equipment is not worth to roll a truck, to go out and actually get. They're so far behind on it. They don't have the people to do it. They want to clean the records off.","NULL"
"1121","As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","F"
"1032","Sure, no problem. .","NULL"
"621","I've got to see. Mike was thinking that those would be treated as two separate records. I hear what you're saying. We have a whole record leaving and a whole record coming in. To me, it would be changing the VIN.","NULL"
"324","As a corporatesponsor, I want to display my logo on a corporate sponsors page, so that others see the company's support of Scrum.","F"
"1025","As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.","F"
"1005","As an agency user, I want to ensure that deleted FSRS records are not included in submissions.","F"
"509","Yeah.","NULL"
"416","When we did a look at the data that was falling into , I haven't looked at the data falling into LCAM, but nearly every Saturday and Sunday, weekend days, and even sometimes holidays, we saw transactions falling into from people doing scanning.","NULL"
"388","As a camp administrator, I want to be able to delete campers from the database, so that I can keep my pages free of clutter.","F"
"1134","That makes sense, because it's his data.","NULL"
"346","As a stakeholder, I want to see the results of user research, so that I can determine if the CMS is right for me.","F"
"720","As an owner, I want to be sure that USAspending only send grant records to my system.","A"
"1137","As a Practitioner, I want to include additional details about me in my profile page, so that I can showcase my experience.","F"
"908","Don't want it to get lost.","NULL"
"942","As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","F"
"992","As a Researcher, I want an app that generates an OpenRefine reconciliation API endpoint from a Tabular Data Package, so that I can use it to clean messy data.","F"
"253","We not even know. You're just walking in, and finding out yesterday afternoon. You said, 'What's going on?' , 'We need some help from somebody.' Get all the people as soon as possible, so we can all work together and then go through like 10 different , and finally come to you for three minutes work.","NULL"
"684","Just like the home search sites where you'd start on the map and then you can add criteria to it to narrow your search down. If you only want to see single family homes, or condos, you can filter that out. That would be like poles or...","NULL"
"145","I don't know where to find it, to be honest.","NULL"
"778","As an owner, I want to remove someone from membership in my publisher, so that they no longer have ability to publish or modify my data packages.","F"
"1093","As a user, I want to be able to view a map display of the special waste drop off sites around my area.","F"
"670","As a recyclingfacility, I want to be able to communicate directly with the site admin and convey any issues or concerns I have, so that they fix them.","F"
"753","you and Larry and Kim think about that.","NULL"
"488","As a CSM, I want to have my name listed in the registry without becoming a member of the site, so that employers or others can verify my certification.","F"
"850","As a camp administrator, I want to be able to make nametags faster, so that I don't have to spend two hours making 200+ nametags","A"
"269","As a user researcher, I want to know when outreach to lists is successful, so that I can plan on a new release to the next listserv on the priority list.","F"
"234","I know we said, 'Home page, basically that's where you're going to .' I think when we talked about that, how will that tie this together?","NULL"
"309","As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element.","F"
"803","As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta site to it.","A"
"212","Your login was not successful.","NULL"
"232","As a Researcher, I want to get a Data Package into Excel in seconds, so that I can start using the data for doing analysis and visualizations.","A"
"832","As a user, I want to get feedback when I enter an invalid zip code.","F"
"741","Side bar. Part of this, I'm going to talk with Michael about it. As far as the context switching, maybe we can talk about this in the next meeting, and continue onto this. Let's start thinking about this, but we, as a group, need to start doing a much better job at estimating.","NULL"
"808","and then he can mock up something.","NULL"
"428","By credentials. There's things we can put in an iteration so that in two weeks when we have our...","NULL"
"1158","I've got much better ideas after this conversation.","NULL"
"903","Yes.","NULL"
"140","Get the whole team, except for Susan!","NULL"
"301","That's right. I guess the first question is, is this really chargeable work because they pay for maintenance. Smiley's under the impression that...","NULL"
"465","Hi, .","NULL"
"401","As a site visitor, I want to access old news that is no longer on the home page, so that I can access things I remember from the past or that others mention to me.","F"
"856","Does LCAM store the clause?","NULL"
"614","That's the way our mind works. Not yet. This one in particular we're going to definitely be working through. But as far as the other ones that are in class people can pick the ones they'd like to see first. With that, on to issues. Did everybody see these? A couple of seconds. Any new ones anybody wants to add to the list?","NULL"
"348","As an agency user, I want to have all derived data elements derived properly.","F"
"503","As a parent, I want to be able to see if I made all the necessary payments.","F"
"1204","As an NSF employee, I want to know how visual design directions were developed, so that I can make better design decisions in the future.","A"
"436","","NULL"
